name,rating,reviews,address,website,type,lat,lng
Canlan Sports,4,92,"5700 Langley Bypass, Langley, BC V3A 8L7, Canada",https://www.canlansports.com/,"bar, restaurant, school, food, point_of_interest, establishment",49.10634289999999,-122.6421256
,,,,,,,
The Red Room,3.5,668,"398 Richards St, Vancouver, BC V6B 4Y2, Canada",http://www.redroomvancouver.com/,"night_club, bar, point_of_interest, establishment",49.28416,-123.1113488
GreenTee Country Club Westwood Plateau Sky,3.9,382,"3251 Plateau Blvd, Coquitlam, BC V3E 3B8, Canada",https://www.gtccwestwoodplateau.com/,"bar, restaurant, food, point_of_interest, health, establishment",49.3136018,-122.7860011
Celebrities Nightclub,3.6,614,"1022 Davie St, Vancouver, BC V6E 1M3, Canada",http://celebritiesnightclub.com/,"night_club, bar, point_of_interest, establishment",49.2794223,-123.1299286
Great Canadian Casino Vancouver,3.9,4414,"2080 United Blvd, Coquitlam, BC V3K 6W3, Canada",https://greatcanadian.com/destinations/britishcolumbia/vancouver/,"casino, tourist_attraction, night_club, bar, restaurant, food, point_of_interest, establishment",49.2274458,-122.8374598
Canadian Tire,3.7,4457,"2290 Cambie St, Vancouver, BC V5Z 2T7, Canada",https://www.canadiantire.ca/en/store-details/bc/cambie-7th-bc-389.html?utm_source=google&utm_medium=lss&utm_content=389,"department_store, hardware_store, home_goods_store, point_of_interest, store, car_repair, establishment",49.2652952,-123.1137803
Best Buy,3.6,2094,"2220 Cambie St, Vancouver, BC V5Z 2T7, Canada",https://stores.bestbuy.ca/en-ca/bc/vancouver/2220-cambie-st,"electronics_store, point_of_interest, home_goods_store, store, establishment",49.2653402,-123.1143379
Canadian Tire,3.8,2742,"Marine Way Market, 7200 Market Crossing, Burnaby, BC V5J 0A2, Canada",https://www.canadiantire.ca/en/store-details/bc/burnaby-south-bc-603.html?utm_source=google&utm_medium=lss&utm_content=603,"department_store, car_repair, point_of_interest, home_goods_store, store, establishment",49.20032230000001,-122.9826438
Best Buy,3.6,2879,"Station Square, 6200 McKay Ave Unit 200, Burnaby, BC V5H 4M3, Canada",https://stores.bestbuy.ca/en-ca/bc/burnaby/station-square,"electronics_store, home_goods_store, point_of_interest, store, establishment",49.2268777,-123.0036137
Canadian Tire,3.9,2508,"8277 Ontario St, Vancouver, BC V5X 2W6, Canada",https://www.canadiantire.ca/en/store-details/bc/vancouver-sw-marine-bc-605.html?utm_source=google&utm_medium=lss&utm_content=605,"department_store, car_repair, point_of_interest, home_goods_store, store, establishment",49.20990930000001,-123.1075351
