name,rating,reviews,address,website,type,lat,lng
Paitich C B Dr,2,4,"2140 North Park Dr, Brampton, ON L6S 0C9, Canada",,"doctor, point_of_interest, health, establishment",43.74942749999999,-79.7264407
WELL Health Medical Centres – Port Credit,3,55,"333 Lakeshore Rd W, Mississauga, ON L5H 1G9, Canada",https://wellclinics.ca/ontario/mississauga/port-credit-whmc/,"doctor, health, point_of_interest, establishment",43.5432545,-79.59457359999999
Bovaird Hearing Clinic Inc.,4.7,54,"2260 Bovaird Dr E, Brampton, ON L6R 0W3, Canada",http://www.bovairdhearingclinic.ca/,"doctor, health, store, point_of_interest, establishment",43.751548,-79.738545
Mississauga Medical Care Clinic (Formerly Urgent Care Clinic),2.4,134,"1201 Britannia Rd W, Mississauga, ON L5V 1N2, Canada",http://stmarysmcclinic.ca/,"doctor, point_of_interest, health, establishment",43.60323080000001,-79.7070876
Primacy Golden Mile Walk-In & Children's Clinic,3.2,747,"1880 Eglinton Ave E #152, Scarborough, ON M1L 2L1, Canada",https://www.goldenmileclinic.com/,"pharmacy, doctor, health, point_of_interest, store, establishment",43.72663000000001,-79.3000899
Winston Park Family Physicians,2.4,114,"2315 Bristol Cir, Oakville, ON L6H 6P8, Canada",https://www.winstonparkmedicalcentre.ca/,"doctor, health, point_of_interest, establishment",43.5168015,-79.674961
West Mississauga Medical,3.3,184,"3050 Argentia Rd, Mississauga, ON L5N 8E1, Canada",http://www.mississaugaclinic.com/,"doctor, health, point_of_interest, establishment",43.5958643,-79.7842474
Don Valley Medical Associates,3.1,24,"1333 Sheppard Ave E Suite 144, North York, ON M2J 1V1, Canada",https://donvalleymedical.ca/,"doctor, health, point_of_interest, establishment",43.7714338,-79.3616091
Queen Square Doctors and Family Health Team,2.9,186,"366 Main St N Suite 201, Brampton, ON L6V 1P8, Canada",http://www.queensquarefht.ca/,"doctor, health, point_of_interest, establishment",43.6950491,-79.7713326
Silver Star Medical Centre,1.5,82,"385 Silver Star Blvd, Scarborough, ON M1V 0E3, Canada",https://www.silverstar.fountainmedicalgroup.ca/,"doctor, health, point_of_interest, establishment",43.8152157,-79.29515219999999
Vaughan Medical Centre,2.8,44,"9000 Weston Rd #9, Woodbridge, ON L4L 0L1, Canada",http://www.westonwellness.ca/,"doctor, health, point_of_interest, establishment",43.8212609,-79.5555825
Westbram Family Physicians,2.6,108,"#104, 100 Pertosa Dr, Brampton, ON L6X 0H9, Canada",https://westbramfho.ca/,"point_of_interest, doctor, health, establishment",43.68068650000001,-79.8048204
Dr. Raymond M. Stein,4.9,37,"40 Prince Arthur Ave, Toronto, ON M5R 1A9, Canada",https://www.bochner.com/?utm_source=google&utm_medium=gmb&utm_campaign=stein_toronto,"doctor, health, point_of_interest, establishment",43.66954070000001,-79.39780619999999
Dr George Woo,3.7,6,"600 Sherbourne St, Toronto, ON M4W 3R4, Canada",,"doctor, point_of_interest, health, establishment",43.6722515,-79.3765049
Surrey Place,4,25,"2 Surrey Pl, Toronto, ON M5S 2C2, Canada",https://www.surreyplace.ca/,"doctor, health, point_of_interest, establishment",43.66118179999999,-79.38843910000001
Primacy Dufferin Family Care Centre & Walk-In Clinic,2.4,101,"51 Gerry Fitzgerald Dr, Toronto, ON M3J 3N4, Canada",https://www.dufferinfamilycare.com/,"doctor, health, point_of_interest, establishment",43.78445560000001,-79.47090349999999
Nick Shiletto MD,4.8,33,"1333 Sheppard Ave E, North York, ON M2J 1V1, Canada",,"doctor, health, point_of_interest, establishment",43.77141700000001,-79.36127050000002
